,Names,Prices,Launched_date,Bike_spec,Images
0,Vida V2,"₹ 96,000",Launched on  4 Dec 2024,116 kg,https://imgd.aeplcdn.com/272x153/n/cw/ec/193459/v2-right-side-view-10.jpeg?isig=0&q=80
1,OLA S1 Z,"₹ 59,999",Launched on  26 Nov 2024,349 cc|,https://imgd.aeplcdn.com/272x153/n/cw/ec/193053/s1-z-left-front-three-quarter.jpeg?isig=0&q=80
2,OLA Gig+,"₹ 49,999",Launched on  26 Nov 2024,35 kmpl|,https://imgd.aeplcdn.com/272x153/n/cw/ec/193051/gig-plus-left-front-three-quarter.jpeg?isig=0&q=80
3,OLA Gig,"₹ 39,999",Launched on  26 Nov 2024,19.94 bhp|,https://imgd.aeplcdn.com/272x153/n/cw/ec/193047/gig-left-front-three-quarter.jpeg?isig=0&q=80
4,Royal Enfield Goan Classic 350,"₹ 2,35,000",Launched on  23 Nov 2024,197 kg,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
5,Brixton Motorcycles Cromwell 1200,"₹ 7,84,000",Launched on  18 Nov 2024,1222 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
6,Brixton Motorcycles Cromwell 1200 X,"₹ 9,10,000",Launched on  18 Nov 2024,81.8 bhp,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
7,Brixton Motorcycles Crossfire 500 X,"₹ 4,74,000",Launched on  18 Nov 2024,1222 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
8,Brixton Motorcycles Crossfire 500 XC,"₹ 5,19,000",Launched on  18 Nov 2024,81.8 bhp,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
9,KTM 890 Duke R,"₹ 14,50,000",Launched on  14 Nov 2024,486 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
10,KTM 890 Adventure R,"₹ 15,80,000",Launched on  14 Nov 2024,46.9 bhp,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
11,KTM 1390 Super Duke R,"₹ 22,95,800",Launched on  14 Nov 2024,486 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
12,KTM 1290 Super Adventure S,"₹ 22,73,900",Launched on  14 Nov 2024,46.9 bhp,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
13,KTM 450 SX-F,"₹ 10,25,000",Launched on  14 Nov 2024,889 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
14,KTM 250 SX-F,"₹ 9,58,000",Launched on  14 Nov 2024,119 bhp|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
15,,,,180 kg,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
16,,,,889 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
17,,,,103 bhp|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
18,,,,215 kg,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
19,,,,1350 cc|,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
