,Names,Prices,Ratings,Reviews,Links,Images
0,Trendy Caps,₹174 ,4.0,1609 Reviews,https://www.meesho.com/trendy-winter-woolen-beanie-cap-and-glove-set-for-extra-protection-from-cold-for-men-women-black/p/7ebo32,https://images.meesho.com/images/products/447322286/dztyx_400.webp
1,Gorgeous Men Caps,₹174 ,4.0,26812 Reviews,https://www.meesho.com/trendy-winter-woolen-beanie-cap-and-cotton-glove-set-for-extra-protection-from-cold-for-men-women-free-size-multicolour/p/39xs0t,https://images.meesho.com/images/products/198091037/k9r9a_400.webp
2,Gorgeous Men Caps,₹144 ,3.9,989 Reviews,https://www.meesho.com/modern-men-caps/p/568zqs,https://images.meesho.com/images/products/312828148/kmxmw_400.webp
3,Fancy Unique Men Socks,₹129 ,3.9,1638 Reviews,https://www.meesho.com/highex-trendy-winter-woolen-beanie-cap-and-glove-set-for-extra-protection-from-cold-for-men-women-free-size-garam-topagaram-gloves-black/p/3dl8ak,https://images.meesho.com/images/products/238547379/8jrne_400.webp
4,Attractive Men Caps,₹233 ,4.0,3890 Reviews,https://www.meesho.com/winter-beanie-hat-scarf-set-warm-knitted-thick-fleece-lined-brown-wool-winter-cap-scarves-for-men-women-any-random-color/p/7j377e,https://images.meesho.com/images/products/204224060/8xoxi_400.webp
5,Trendy Caps,₹153 ,3.6,7 Reviews,https://www.meesho.com/combo-of-3-pieces-black-wollen-beanie-cap-neck-scarf-hand-gloves-cap-inside-fully-fur-in-cap-and-scarf-comfortable-warm-hand-gloves-for-both-men-and-women/p/3jxj3c,https://images.meesho.com/images/products/455325242/nbhhq_400.webp
6,Elegant Men Mufflers,₹221 ,4.0,459 Reviews,https://www.meesho.com/premium-quality-cotton-socks-for-all-day-comfort-12-pairs/p/5w3s2b,https://images.meesho.com/images/products/214875624/ujmk1_400.webp
7,Classy Men Mufflers,₹173 ,3.9,703 Reviews,https://www.meesho.com/unisex-black-woolen-beanie-cap-with-scarf-warm-snow-proof-premium-high-quality-beanie/p/61eknp,https://images.meesho.com/images/products/345034185/e16k0_400.webp
8,Casual Unique Men Socks,₹174 ,4.3,3958 Reviews,https://www.meesho.com/blueunisex-winter-woolen-hat-scarf-set-dual-layered-warmth/p/7nkadx,https://images.meesho.com/images/products/356254931/ry9we_400.webp
9,Fabulous Men Caps,₹159 ,4.0,30 Reviews,https://www.meesho.com/bikers-biking-winter-combo-for-riding-travel-men-and-women-woolen-caps-scarf-muffler-with-socks-goggels-knee-pad-and-gloves-unisex-beanie-cap-set-1-pairs-cool-arm-sleeves-free/p/7px2xj,https://images.meesho.com/images/products/365156629/6sp8d_400.webp
10,Trendy Caps & Hats,₹179 ,4.4,10 Reviews,https://www.meesho.com/trendy-combo-offer-buy-men-and-women-winter-wollen-knit-neck-scraf-and-warm-beanie-cap-hat-get-3-pair-socks-foldeble-sunglass-or-wired-earphone-free/p/5zr8lu,https://images.meesho.com/images/products/462840981/qbxrv_400.webp
11,Modern Men Caps,₹174 ,4.0,25876 Reviews,https://www.meesho.com/trendy-trosskart-terry-loafer-cotton-regular-socks-pack-of-3-for-men/p/1d65tc,https://images.meesho.com/images/products/186580269/mvjbo_400.webp
12,Fabulous Men Caps,₹393 ,3.8,756 Reviews,,https://images.meesho.com/images/products/466797079/kjydn_400.webp
13,Stylish Men Mufflers,₹332 ,4.0,5491 Reviews,,https://images.meesho.com/images/products/362388306/yl6te_400.webp
14,Fashionable Trendy Men Socks,₹158 ,4.0,1351 Reviews,,https://images.meesho.com/images/products/82588656/zr3bx_400.webp
15,Stylish Men Caps,₹168 ,3.7,72 Reviews,,https://images.meesho.com/images/products/459799162/mmc9s_400.webp
16,Elite Men Caps,₹154 ,,,,https://images.meesho.com/images/products/374040175/gjpzq_400.webp
17,Caps,₹192 ,,,,https://images.meesho.com/images/products/466378210/1hqna_400.webp
18,Latest Men Caps,₹350 ,,,,https://images.meesho.com/images/products/218186028/lwqha_400.webp
19,Ravishing Men Caps,₹179 ,,,,https://images.meesho.com/images/products/466253238/6ipy7_400.webp
